line_item,parent,grandparent
sales,sales,
returns_and_allowances,returns_and_allowances,
cogs,cogs,
officer_compensation_expense,salaries_and_wages_expense,total_operating_expense
salaries_and_wages_expense,salaries_and_wages_expense,total_operating_expense
repairs_and_maintenence_expense,total_operating_expense,
bad_debt_expense,total_operating_expense,
rent_expense,total_operating_expense,
taxes_and_licenses_expense,total_operating_expense,
depreciation_expense,total_operating_expense,
depletion_expense,total_operating_expense,
advertising_expense,total_operating_expense,
pension_expense,salaries_and_wages_expense,total_operating_expense
employee_benefits_expense,salaries_and_wages_expense,total_operating_expense
dividend_revenue,other_income,
interest_revenue,other_income,
rent_revenue,other_income,
royalty_revenue,other_income,
capital_gain_revenue,other_income,
